Urban area,Size,Latitude,Longitude,Motor vehicle,Walk,Tech workers,Insured,Broadband,Median rent,Gini index,Population,College,High school,No high school,Has rapid transit
"Augusta-Richmond County, GA--SC",262.186,33.487951,-81.996378,0.9223310805107399,0.018249551217480852,4588,0.8870766269402466,0.808988606485539,851,0.4588,405463,0.27887547329975093,0.5838648066032994,0.13725972009694967,No
"Austin, TX",527.645,30.358509,-97.761515,0.8536091191001433,0.017970824816221528,58110,0.8889898532817968,0.898995000670662,1250,0.4589,1648769,0.4767768092402256,0.43587962983758455,0.0873435609221899,Yes
"Avondale--Goodyear, AZ",88.051,33.472716999999996,-112.399026,0.9069595542246314,0.010755847011106478,2657,0.8895687566973732,0.8779671074940658,1205,0.4041,227896,0.26736657555426707,0.5963513625445208,0.13628206190121206,No
"Bakersfield, CA",139.30599999999998,35.362282,-119.03055900000001,0.9232046941999549,0.00854434664861205,2788,0.9154223198729297,0.840443686006826,992,0.4492,573560,0.17856847111153173,0.5732444518052335,0.24818707708323476,No
"Baltimore, MD",742.371,39.234099,-76.64775999999999,0.8268836849779527,0.026462062786571334,61661,0.9457208590600192,0.8524752360405503,1255,0.4582,2277839,0.3981363783259722,0.5006425407607835,0.10122108091324432,Yes
"Barnstable Town, MA",299.826,41.622828999999996,-70.576489,0.9029513555085561,0.015149330257001858,1726,0.9668978863705143,0.8748985096077572,1252,0.4461,253517,0.41056062179361963,0.5395612078094317,0.049878170396948605,Yes
"Baton Rouge, LA",371.32800000000003,30.427884999999996,-91.038912,0.9346895185957054,0.010523914688896492,5539,0.9243464247343918,0.8262871302972252,911,0.4747,607945,0.31701039647118523,0.5737628980000781,0.10922670552873667,No
"Battle Creek, MI",54.386,42.31374,-85.197926,0.9233713989099404,0.04162341032961329,665,0.9634820589373583,0.8058455114822547,693,0.488,73724,0.23489617036296254,0.6818048120477675,0.08329901758926996,No
"Bay City, MI",41.937000000000005,43.608621,-83.890506,0.9379805575314162,0.007214713951834163,216,0.9350745167478235,0.7962051525745901,601,0.4737,68434,0.21991429717349545,0.6888311907626707,0.09125451206383382,No
"Beaumont, TX",92.79,30.11918,-94.127119,0.959860164086736,0.006739839062721446,313,0.840794614696606,0.766451338113154,819,0.4823,149817,0.2370730755894591,0.6271454576976422,0.13578146671289876,No
"Bellingham, WA",51.64,48.775245,-122.477024,0.8291068402033833,0.06501231172651978,1993,0.9622305811242272,0.8893663552477603,1080,0.4604,124104,0.45498838735736646,0.49370140361506615,0.0513102090275674,No
"Beloit, WI--IL",35.258,42.509483,-89.026108,0.935277926446976,0.018005963758697147,415,0.9154470761923101,0.8394308943089431,787,0.3958,62669,0.16976634469743998,0.6994015841879174,0.13083207111464257,No
"Billings, MT",53.153000000000006,45.79132,-108.53183999999999,0.9191227644250223,0.03180383588249575,1373,0.9315464503245967,0.8611456913075266,834,0.4865,121625,0.3245230406234732,0.5892489006995006,0.08622805867702611,No
"Binghamton, NY--PA",77.634,42.105366,-75.962775,0.8923761825264329,0.030288576198425947,1877,0.9506352504788915,0.7884807616025387,755,0.4959,150490,0.27968975758548725,0.6162004334564135,0.10410980895809921,Yes
"Birmingham, AL",533.9269999999999,33.469106,-86.791975,0.9234304290703289,0.014092731294846889,9628,0.9133830022075056,0.8289420699340728,897,0.4924,767392,0.3753679042199268,0.5382378187130764,0.08639427706699683,Yes
